load_date,ActiveConnectionCount,HTTPCode_ELB_4XX_Count,HTTPCode_ELB_5XX_Count,HTTPCode_Target_2XX_Count,HTTPCode_Target_4XX_Count,RequestCount,RequestCountPerTarget,TargetResponseTime,UnHealthyHostCount,i_0cec130025dfcd779_CPUUtilization,i_0e3640b16ef872228_CPUUtilization,cab_db_CPUUtilization,hits
26-04-2020 9.00,3,0,10,0,0,0,0,0,0,0,0,0,4
26-04-2020 9.10,1,0,1,0,0,0,0,0,0,0,0,0,4
26-04-2020 9.30,1,1,0,0,0,0,0,0,0,0,0,0,2
26-04-2020 12.20,1,0,1,0,0,0,0,0,0,0,0,0,102
26-04-2020 13.05,1,1,0,0,0,0,0,0,0,0,0,0,27
26-04-2020 13.25,1,0,1,0,0,0,0,0,0,0,0,0,1
26-04-2020 13.55,2,10,10,0,0,0,0,0,0,0,0,0,15
26-04-2020 14.05,1,0,1,0,0,0,0,0,0,0,0,0,3
26-04-2020 18.40,1,0,0,0,0,0,0,0,0,0,0,0,5695
26-04-2020 21.35,1,1,0,0,0,0,0,0,0,0,0,0,1819
26-04-2020 22.00,1,0,1,0,0,0,0,0,0,0,0,0,263
26-04-2020 23.25,1,0,1,0,0,0,0,0,0,0,0,0,862
27-04-2020 0.00,2,0,9,0,0,0,0,0,0,0,0,0,341
27-04-2020 0.20,2,0,9,0,0,0,0,0,0,0,0,0,217
27-04-2020 0.25,1,0,0,0,0,0,0,0,0,0,0,0,40
27-04-2020 0.30,2,0,1,0,0,0,0,0,0,0,0,0,51
27-04-2020 0.35,2,0,9,0,0,0,0,0,0,0,0,0,63
27-04-2020 1.05,2,10,10,0,0,0,0,0,0,0,0,0,348
27-04-2020 2.15,1,0,1,0,0,0,0,0,0,0,0,0,778
27-04-2020 2.20,2,0,1,0,0,0,0,0,0,0,0,0,60
27-04-2020 2.50,1,0,1,0,0,0,0,0,0,0,0,0,329
27-04-2020 3.35,1,0,1,0,0,0,0,0,0,0,0,0,436
27-04-2020 4.05,1,0,1,0,0,0,0,0,0,0,0,0,304
27-04-2020 4.40,1,0,1,0,0,0,0,0,0,0,0,0,329
27-04-2020 5.40,1,0,1,0,0,0,0,0,0,0,0,0,632
27-04-2020 6.00,0,0,0,0,0,0,0,0,0,0,0,3.790034269,213
27-04-2020 6.05,0,0,0,0,0,0,0,0,0,0,0,1.808659813,33
27-04-2020 6.10,0,0,0,0,0,0,0,0,0,0,0,1.627489117,45
27-04-2020 6.15,0,0,0,0,0,0,0,0,0,0,0,1.69924053,57
27-04-2020 6.20,0,0,0,0,0,0,0,0,0,0,0,1.633500046,33
27-04-2020 6.25,0,0,0,0,0,0,0,0,0,0,0,1.672501621,59
27-04-2020 6.30,0,0,0,0,0,0,0,0,0,0,0,1.595267204,41
27-04-2020 6.35,0,0,0,0,0,0,0,0,0,0,0,1.573048069,59
27-04-2020 6.40,0,0,0,0,0,0,0,0,0,0,0,1.593609336,73
27-04-2020 6.45,0,0,0,0,0,0,0,0,0,0,0,1.641011392,47
27-04-2020 6.50,0,0,0,0,0,0,0,0,0,0,0,1.559468626,37
27-04-2020 6.55,0,0,0,0,0,0,0,0,0,0,0,1.644632768,46
27-04-2020 7.00,0,0,0,0,0,0,0,0,0,0,0,1.628582014,54
27-04-2020 7.05,0,0,0,0,0,0,0,0,0,0,0,1.593609336,59
27-04-2020 7.10,0,0,0,0,0,0,0,0,0,0,0,1.607271733,27
27-04-2020 7.15,0,0,0,0,0,0,0,0,0,0,0,1.528377614,35
27-04-2020 7.20,0,0,0,0,0,0,0,0,0,0,0,1.567379828,45
27-04-2020 7.25,1,0,1,0,0,0,0,0,0,0,0,1.571186441,42
27-04-2020 7.30,0,0,0,0,0,0,0,0,0,0,0,1.56010929,39
27-04-2020 7.35,0,0,0,0,0,0,0,0,0,0,0,1.566286932,47
27-04-2020 7.40,0,0,0,0,0,0,0,0,0,0,0,1.598508845,76
27-04-2020 7.45,1,0,0,0,0,0,0,0,0,0,0,1.571186441,53
27-04-2020 7.50,0,0,0,0,0,0,0,0,0,0,0,1.539306576,44
27-04-2020 7.55,0,0,0,0,0,0,0,0,0,0,0,1.554458975,56
27-04-2020 8.00,0,0,0,0,0,0,0,0,0,0,0,1.602973048,30
27-04-2020 8.05,0,0,0,0,0,0,0,0,0,0,0,1.540826155,64
27-04-2020 8.10,0,0,0,0,0,0,0,0,0,0,0,1.570278781,51
27-04-2020 8.15,0,0,0,0,0,0,0,0,0,0,0,1.553383706,38
27-04-2020 8.20,0,0,0,0,0,0,0,0,0,0,0,1.535354885,44
27-04-2020 8.25,0,0,0,0,0,0,0,0,0,0,0,1.543024578,54
27-04-2020 8.30,0,0,0,0,0,0,0,0,0,0,0,1.560822451,37
27-04-2020 8.35,1,1,0,0,0,0,0,0,0,0,0,1.532388626,36
27-04-2020 8.40,0,0,0,0,0,0,0,0,0,0,0,1.600185237,27
27-04-2020 8.45,0,0,0,0,0,0,0,0,0,0,0,2.203389831,44
27-04-2020 9.10,1,1,0,0,0,0,0,0,0,0,0,0,275
27-04-2020 9.55,1,1,0,0,0,0,0,0,0,0,0,0,462
27-04-2020 10.25,2,0,9,0,0,0,0,0,0,0,0,0,283
27-04-2020 10.40,1,1,0,0,0,0,0,0,0,0,0,0,168
27-04-2020 11.25,1,1,0,0,0,0,0,0,0,0,0,0,485
27-04-2020 12.10,1,1,0,0,0,0,0,0,0,0,0,0,533
27-04-2020 12.40,2,10,10,0,0,0,0,0,0,0,0,0,331
27-04-2020 12.55,1,1,0,0,0,0,0,0,0,0,0,0,177
27-04-2020 13.45,1,1,0,0,0,0,0,0,0,0,0,0,736
27-04-2020 13.50,1,1,0,0,0,0,0,0,0,0,0,0,51
27-04-2020 14.20,1,0,1,0,0,0,0,0,0,0,0,0,406
27-04-2020 14.50,1,0,1,0,0,0,0,0,0,0,0,0,357
27-04-2020 15.10,2,0,1,0,0,0,0,0,0,0,0,0,205
27-04-2020 15.55,1,0,1,0,0,0,0,0,0,0,0,0,462
27-04-2020 16.10,1,1,0,0,0,0,0,0,0,0,0,0,169
27-04-2020 17.00,1,0,1,0,0,0,0,0,0,0,0,0,513
27-04-2020 17.05,2,0,1,0,0,0,0,0,0,0,0,0,30
27-04-2020 17.35,3,0,5,0,0,0,0,0,0,0,0,0,188
27-04-2020 18.20,2,0,2,0,0,0,0,0,0,0,0,0,194
27-04-2020 18.35,1,0,1,0,0,0,0,0,0,0,0,0,110
27-04-2020 19.00,1,0,1,0,0,0,0,0,0,0,0,0,25
27-04-2020 19.10,1,0,1,0,0,0,0,0,0,0,0,0,4
27-04-2020 19.25,8,0,9,0,0,0,0,0,0,0,0,0,124
27-04-2020 20.10,1,0,1,0,0,0,0,0,0,0,0,0,94
